ieul_企業id,ieul_店舗id,名前,性別,年齢,都道府県,市区町村,住所全部,売却回数,売却検討時期,査定依頼時期,売出時期,売却時期,引渡時期,査定価格,販売価格,値下げしたかどうか,売り出してから何ヶ月後に値下げしたか,値下げ価格,成約価格,媒介契約の形態,見出し,売却理由,売却時に不安だったこと,この会社に決めた理由,不動産会社の対応満足度,不動産会社の対応満足度の理由,今後売却する人へのアドバイス,不動産会社に改善してほしい点,物件種別
1,1,服部 彩,女性,46,東京都,港区,品川2丁目,初めて,2018-02-14,2018-03-14,2018-03-14,2019-01-14,2019-07-31,22000000,22500000,1,3,500000,17000000,2,当方の都合を汲んで丁寧に対応してくれ、別件購入も行った。,5,築年数が古いため、そもそも売却出来るのか、という点。,担当者は若かったがやる気があり、上司も一緒にきたので安心感があった。名義人五人分の資料を作成してくれて送ってくれたのも良かった。,5,先に述べたように、購入（投資物件）にも対応してくれたこと。,私の場合、１年を超える作業になりましたが、性急すぎない期間の目安を持つこと。,,マンション
1,2,石津 秀明,男性,40,東京都,港区,赤坂2丁目,2回め,2019-01-03,2019-03-25,2019-03-25,2019-03-25,2019-04-10,6500000,6500000,0,,,6500000,4,対応の早さ,1,離婚して家が不要になった。,最初の問い合わせからレスポンスが早かった。また、唯一営業担当者が出向いてくださり、顔を合わせてお話ししたことが大きかったです。,4,丁寧な説明と良心的な態度で対応していただけました。,自分の事情や希望を遠慮なく伝えられる業者を選ぶべきだと思いました。,特にありません。,土地
1,3,山本 孝雄,男性,49,東京都,港区,六本木3丁目,3回以上,2018-12-01,2019-01-01,2019-01-01,2019-02-01,2019-02-01,15800000,15800000,0,,,16100000,4,しっかりした、誠実なメールが返ってきたのが決め手でした。思ったよりも高く売れました。,5,きっかけは、父が前年に死亡し、母をそのまま一人で静岡においておくには不安であったため。査定価格よりかなり低い価格でしか引き合いがなかったら、と考えたら少し不安でした。,新しく購入するマンションの購入会社の方からの推薦で、売却した不動産屋に決めました。,5,まず、メールの内容が誠実で信頼がおけた。実際に会っても、わからないことだらけのこちらの質問に対して一つ一つ丁寧に答えてくれて、先回りしてこちらの質問にも回答してくれたこと。,会社選びが大切なので、しっかりと信頼できる会社を選んだほうが良いと思います。とはいえ、価格について、タイミングと会社の方針もあるので比較したほうが良い。,特にないです。強いていえば誠実すぎです。,戸建て
2,4,北澤 美帆,女性,41,東京都,渋谷区,渋谷2丁目,初めて,2018-12-01,2019-05-11,2019-05-12,2019-08-31,2019-10-25,28000000,31800000,1,2,3000000,26800000,1,途中で不動産会社を変えたのが決め手でした。,1,老後の事を考えて、住み替えを進めたが、48歳からローンがスタートし、返済できるかが不安だったので、残債を返済し、手元に残したかった。,東横線物件に強かったので、きっと良いお客がみつかるだろうと思いました。また、仲介手数料の割引サービスがあったこと。,5,信用出来る担当者と感じられたのは大きかったと思っています。その他、大手だったため、サービス内容もしっかりした内容で、安心感はありました。また、不明点については濁さずに回答してもらったと感じられたのも良かったです。結果として、不動産会社を変える時に、絶対早い方が良いとのアドバイスをもらい、急いで変更したことが売却につながった事実がありますので、結果としても満足しています。,査定額だけで不動産会社を選ぶことはせず、総合的に判断されることをお勧めします。,折返しの連絡が無かったり、遅かったりすることがあったこと。,マンション
2,5,大森 奈生子,女性,50,東京都,目黒区,中目黒7丁目,2回め,2003-01-13,2003-03-10,2003-03-10,2003-03-24,2003-03-27,12800000,12800000,1,1,500000,9800000,4,不信感,1,両親が亡くなり売却しましたが、売り出しから意外と時間がかかった気がします。時期が悪かったのかもしれません。,かなり積極的に対応してくれ、買い手探しも手広くやってくれましたのでこちらでお願いさせて頂きました。,1,売れなかった為。売却に真剣さを感じなかった。売れるという言葉を信じて任せたが、失敗したと思います。,住み替え時、住み替え先選定と売却先の選定は別に考えた方が良いです。,売却方法の選択肢をアドバイスして欲しい。,土地
30,34,大門 誠,男性,46,岐阜県,大垣市,大井２丁目,3回以上,2018-12-03,2019-01-10,2019-02-01,2019-04-01,2019-05-01,20300000,21000000,0,,,20000000,1,幅広い宣伝広告戦略が決め手でした。,3,定年退職をきっかけに老後のことを考えて、駅近一戸建てへの住み替えのために売却を検討していました。家や庭のメンテナンスを考えると、転居の日までに売却できるか大変不安でした。,丁寧な対応、分かりやすい説明、知らないことは持ち帰り後でちゃんと説明してくれる。プライベートな話題を提供してくれて親しみ易い。,4,自社ホームページへの掲載やチラシの配布など、幅広く宣伝していただいたことに加えて、2週間に1回の報告もあり、売却契約の手続きなど丁寧に対応していただき、とても助かりました。,1社ではなく、複数の不動産会社に査定してもらった方が、近隣の販売実績など多くの情報を得て、販売価格の設定に役立つと思います。,問い合わせのレスポンスが若干遅かったのが気になりました。,戸建て
31,35,吉井 正也,男性,55,青森県,青森市,青葉２丁目,初めて,2018-09-01,2019-01-05,2019-01-12,2019-11-29,2020-04-20,57000000,58800000,0,,,57500000,2,所有するマンションを分譲したグループ会社で安心できた。,1,相続したものの、使用することもなく、固定資産税の負担が重いために売却することにしました。売れないのではないかという不安がありました。,最初に相談した時から売却金額を決める報告書がしっかりしており、信頼できると思い、専任媒介で依頼したのがきっかけでした。また、金額の相談もあったので、満足でした。,5,担当者の対応はとても丁寧で、連絡は必要最低限。またこちらが確認したことには適切に回答してくれて大変好感がもてる対応だった。,分譲した会社との関係も一つの判断材料になるかもしれません。,短時間で売却出た場合、仲介手数料の割引等があってもよいのではないか。,マンション
31,36,山崎 泰司,男性,52,京都府,南丹市,園部町天引向井田,2回め,2018-09-01,2019-03-01,2019-10-26,2020-04-01,2020-04-01,8000000,8000000,0,,,8000000,2,査定金額が1番高かったため,1,相続した家で生活には便利だが土地が狭く、特に駐車スペースに難があり築年数も経っていたために売却を検討した。狭い土地でも売れるかが非常に不安だった。,築年数が古いため、まずは売れるかが心配でした。しかし、業者さんのご協力で売却にたどり着きました。なんといつても、販売実績と積極的アプローチができて大満足。素晴らしい方にめぐりあいました。,5,レスポンスの良さ。,面倒でも多くの会社と話をした方が良い。,特にありません。,土地
31,37,丸山 宏平,男性,56,石川県,羽咋市,大町ニ,3回以上,2019-01-15,2019-05-13,2019-05-17,2019-10-31,2019-10-31,15000000,15000000,0,,,15000000,4,担当者の対応,4,家を新築したくて。ローンの追い金もあまりしないでいける金額で売却したいと考えていました。,不動産屋さんの代表が女性で話しやすかった事。土地の調査等お任せできて、現地に出向く回数が最小ですんだので助かりました。頂いた周辺地域の相場等はよく理解できましたが、宅地なのか農地なのかの違いがハッキリしませんでした。,4,いろいろと親切に教えてくれた。,複数の不動産会社に問い合わせたほうが良い。,特に無し。,戸建て
31,38,溝井 美穂,女性,57,埼玉県,上尾市,仲町１丁目,初めて,2018-08-01,2019-02-16,2019-02-16,2019-06-15,2019-08-03,12000000,12000000,1,4,1000000,11000000,2,査定価格が一番高く、これで絶対売れると言っていた,99,両親が亡くなり、実家が空き家になったため今の家を売却して実家に帰ろうと思いました。残債が返済できるくらいの金額で売れるか心配でしたが、不動産会社さんのおかげで無事に売ることができました。,一番反応の早かった業者に決めました。 家を売却する提案書 もしっかりしていてプレゼンが一番出来ていました。 担当者と電話で話した時も、きっちり話を聞いて質問にも答えてくれたのが決め手です。 加えて売却提示額も高かったです。,5,聞きたい事に対して、的確に回答いただいた。必要以上の連絡もなかった。,最初から値引きをして売り出そうとする不動産屋はあまりおすすめできない。安い金額で売るなら、だれでも出来るはずだと思う。,特にありませんでした。,マンション
32,39,吉川 梨奈,女性,56,愛知県,稲沢市,平和町法立起南,2回め,2018-07-02,2018-07-02,2018-08-06,2019-03-04,2019-03-28,19800000,19800000,1,3,19000000,17500000,1,担当者の対応が良かった,1,ずっとマンションだったので一戸建はちょっと怖いと思いました。,対応が早く、私のマンションの他部屋の仲介実績が二件くらいあった。売却査定理由に納得ができたし、担当の仲介セールスマンが買い手を数人以前から確保してたみたいだから。,5,地域の事に詳しく、色々と教えてもらい、売却のアドバイスをたくさん貰えた。,販売業者選びがとても重要。,店舗前に駐車場があれば良かった。,土地
32,40,高橋 友紀,女性,46,大阪府,堺市堺区,櫛屋町西１丁,3回以上,2019-01-14,2019-02-07,2019-02-07,2019-11-21,2019-11-21,16500000,16800000,1,3,800000,15000000,2,1社目がうまく売れず会社を変更して売却,2,定年を前に出費を抑えるたかった。売却後の残金と住替えの頭金。,土地売買や土地活用の経験に富んだ地元の知人経由の紹介だったことと、高値でのオファーが来たことが決め手。その他の面倒な交渉も初期の段階から熱心にしてくれ、仲介手数料も割り引いてもらえた。,4,色々良くやってくれたと思います。,高い値段で確実に売ってくれる会社を見つけましょう。,特にない。,戸建て
34,43,牧野 史織,女性,52,神奈川県,相模原市中央区,上溝４丁目,初めて,2019-01-06,2019-03-23,2019-04-01,2019-07-13,2019-12-23,15700000,19980000,0,,,15980000,2,査定や説明が詳細で安心しておまかせできました。,1,運送業を営んでいましたが、仕事が順調に回らず、金融会社から多額の借金をしてしまった。なかなか返して行くのが厳しくなり、やむを得ず売却するに至りました。27年間住んだ家を手放し、実家に戻って、また一からやり直せるのかが不安でした。,まず担当者の方の対応が早かったことでした。不安に感じていることやわからないことや、それまでの流れを全て聞いた上で相談に乗っていただけました。こちらが聞いたことには必ず返答があり、心配にならないように対処していただけました。,5,担当の方とは主にeメールでやり取りしましたが、レスポンスもよく満足しています。また、内見者様への対応では物件説明が大変お上手で、経験豊富な感じがしてお任せしてよかったと思いました。,複数社検討しましたが、いい加減な対応をする会社もある感じです。少々理屈っぽいなと感じるくらいの説明をしてくれる会社（担当者）は信頼できると思います。,未だご近所に売却を知られたくない時期に、庭先で大きな声であいさつや説明をされるのは勘弁してもらいたいです。,マンション
34,43,渡邉 直美,女性,50,京都府,南丹市,日吉町天若向山,2回め,2019-01-01,2019-04-05,2019-04-20,2019-08-10,2019-09-10,7000000,6000000,1,7,800000,5200000,2,スムーズな取引ができました,2,住み替えの為に売却する事を考えましたが、築30年以上のマンションだったので本当に売れるのか不安でした。加えて、最初に冷やかしの人が見学にきていたので、不安が増していきました。,ネットで一括査定を試み、数社から回答が届きました。ある業者は「更地にした方が売りやすい」と建物を取り壊すことを勧める業者や、価格設定された業者の中でも1000万以上の差があり、どこを信用していいのか不安に思っていました。それを踏まえて、知り合いの不動産会社の方に相談して連絡を取りやすいところに頼むことにしました。,4,丁寧な対応だったと思います。,私の場合は、不動産業者の選択の余地がありませんでしたが、担当者の方は当たりだったと思います。複数社の中から選ばれる際は、担当される方を基準にするのも良いと思います。,特にありません。,土地
3,6,伊藤 さおり,女性,41,埼玉県,川越市,中台南2丁目,3回以上,2018-09-30,2019-04-01,2019-04-01,2019-07-01,2019-07-01,8500000,8500000,0,,,8000000,1,初期対応の早さが決め手,5,少し居住年数がある家だったので売れるかどうか不安でした。,大手の安心感が1番大きな理由です。また担当者の方の感じも良くこちらの早く売りたいという要望に対して具体的な方法を示してくれてわかりやすかった。他の会社は1社はしつこく食い下がられ、感じが悪かった。,5,希望をしっかり伝えれば、それにあわせて対応してくれるので、安心して任せることができました。顧客第一な感じです。,時間はかかるが、いろんな不動産に問い合わせ(電話などで直接話す)してから検討したほうがいいです。,特になし。,戸建て
4,7,田中 沙織,女性,59,神奈川県,厚木市,愛甲西3丁目,初めて,2019-03-28,2019-04-20,2019-04-20,2019-06-21,2019-07-19,12000000,14800000,0,,,14800000,1,担当者の対応のよさ,1,家も古く、周りの環境が変わっていました。隣の家との境界の確認の関係で、建て替えなどの場合の補償も含めて、リノベで行くのかなど、どのような方法が有効かを知りたいと考えていました。,最終的には担当者の人間性だと思います。あまり口が上手すぎるのも自社の利益ばかり考えてるようで、また大手もなんか良くないとも聞いたから、地元の事をわかってる不動産会社を選んだ。,5,対応は、迅速。必要書類等の連絡もきちんとしてくれました。,信頼できる担当者を見つけましょう。,特にないです。,マンション
5,8,廣津 ゆかり,女性,61,埼玉県,川口市,芝樋ノ爪1丁目,2回め,2018-03-01,2018-06-02,2018-08-01,2019-02-01,2019-03-01,11000000,11000000,0,,,10500000,2,家を購入したお店だったので,99,身内の資産整理で売却を検討していました。生前贈与絡みは初めてだったので不安が多く、詳しく教えてほしいと思いました。またすぐに売れるのかも不安でした。,最初のレスポンスが早かったことと、地元の情報を多く持っていそうな印象を受けたことが、不動産会社を決める決め手となりました。最終的には満足のいく取引になりましたので、不満はありません。,4,ほとんど担当者の方がやってくださりとても楽でした。何かあるときは必ず電話で確認をとってくれてとても信用できました。迅速な対応がとても良かったです。,良い不動産会社を見つける事です。,特にありませんでした。,土地
6,9,谷崎 将史,男性,42,神奈川県,藤沢市,片瀬海岸3丁目,3回以上,2018-02-01,2018-02-28,2019-01-01,2019-02-28,2019-02-28,45800000,45800000,0,,,45800000,1,場所がいい,1,老後のことを考えて息子夫婦の近くに引っ越すために、売却を検討しました。いくらで売却できるのか分からなかったため、複数の不動産会社に査定をお願いして売却額を決定しました。実際に売却するまで1年ほどかかりましたが、何とか売却することができてホッとしています。,全国展開している不動産業者であったことは不安が抑えられるポイントとなった。販売実績もしっかりあり、信頼できる根拠の説明がきちんとしていることや丁寧な印象が決め手となった。,3,ラインでも対応してくれました。,特にありません。,丁寧な説明が良かったです。,戸建て
7,10,栗原 直子,女性,42,神奈川県,横浜市西区,中央1丁目,初めて,2018-09-01,2019-02-01,2019-02-01,2019-03-01,2019-04-12,24500000,24500000,1,3,2000000,20800000,1,担当者の印象が良かった。,1,既婚のため売却。なるべく早く売却をしたいと考えていたので結果通りとなり満足しています。身の回りの変化は特にありません。値下げもほぼせずに売却出来た点も満足。,最初、三社に声をかけてみた。最初の印象は丁寧でどこも変わらないなと思ったらその後の丁寧な対応や、こちらの都合への対応などに後から大きな差が出た。,5,必要な時アドバイスを貰えた。,自分の場合、担当者との相性が良かった。安心して任せられる人が良い。,特にありません。,マンション
8,11,荒木 健,男性,65,千葉県,四街道市,めいわ1丁目,2回め,2018-11-01,2018-12-01,2018-12-01,2019-05-10,2019-06-28,4900000,6500000,0,,,3500000,4,最終的に一番いい値をつけて頂いた。担当者の方もすごく親切で良い方でした。,6,引き渡しまでどれくらい時間がかかるのが一般的か分からず、一般の方の動きが少なかった。角地ではあったが、土地の形が変わっていたため、時間がかかるのは予想していなかった。,たまたま見に行った物件の担当者だった方なのですが、その時無理に勧めることなくもっと違う物件の方が良いのではないかと誠実に対応してくれた。新しい賃貸住宅も違う会社が窓口だったがこの方にお願いした。人気の物件だったので二次募集がないといわれていた中、粘り強く確認して空きを見つけてくれた。,5,４社のうち、最後に電話を頂いた不動産会社に関しましては、担当者の方が真面目で親切で、一番高値を出して頂いたので満足しています。,大々的にCMをしている名の知れた不動産会社より、地場の不動産会社の方が親切で、価格も良い値を出してくれる可能性が高いと感じました。,売却を決めた不動産会社に関しましては何も言う事はありません。,土地
9,12,醍醐 里美,女性,65,東京都,八王子市,南大沢5丁目,3回以上,2019-05-01,2019-06-01,2019-06-10,2019-09-06,2019-09-20,13500000,13800000,0,,,13800000,1,現実的な値段を提示したから,1,売却物件が1973年築の旧耐震の建物でした。管理費と修繕費と固定資産税で年間50万円くらいのコストがかかり買い手がいるかとても不安でした。,対応が早かったことと、査定の内容が詳しく書かれていたことからお会いしました。信頼できる方でしたのですぐ契約しました。,2,契約が決まるまでは熱心に話を聞いて対応してくれましたが、その後は連絡をしても迷惑そうに対応していました。分からないから聞いているのに、上から目線って感じでした。最初に連れてきた客がただの冷やかしで、担当を変えてもらいましたが、引き継ぎも不十分。私は聞いていない、言ってないなど、社会人ではあり得ない返答でした。,売り方に関しては優秀だと思います。,引き継ぎはしっかりして欲しいです。上から目線も止めて欲しい。,戸建て
10,13,中村 周子,女性,48,東京都,墨田区,立花5丁目,初めて,2018-01-01,2018-04-01,2018-05-01,2019-03-19,2019-03-29,4100000,4100000,1,1,700000,3800000,1,丁寧な説明と対応,1,"越すことのならぬ世が住みにくければ、住みにくい
所をどれほどか、くつろげて、束の間の命を、束の間でも
住みよくせねばならぬ。ここに詩人という天職できて、ここに
画家という使命が降る。あらゆる芸術の士は人の世を長閑（のどか）
にし、人の心を豊かにするがゆえに尊い。",担当者は若かったがやる気があり、上司も一緒にきたので安心感があった。名義人五人分の資料を作成してくれて送ってくれたのも良かった。,5,熱心に売買活動に取り組んで頂けた結果だと思います。,しっかりお話を聞いて、一番自分に親切かつ丁寧かどうかで判断してみるといいです。,特にないです。,マンション
11,14,大橋 嘉奈子,女性,41,東京都,江戸川区,南篠崎町1丁目,2回め,2018-01-01,2018-01-15,2018-01-20,2018-03-30,2018-04-01,8500000,12000000,0,,,10500000,1,売却方法のアドバイスが最も大事です,5,"住みにくき世から、住みにくき煩いを引き抜いて、ありがたい
世界をまのあたりに写すのが詩である、画である。あるは音楽
と彫刻である。こまかにいえば写さないでもよい。
ただまのあたりに見れば、そこに詩も生き、歌もわく。
着想を紙に落とさぬとも摎鏘（きゅうそう）の音は胸裏に起こる。",最初の問い合わせからレスポンスが早かった。また、唯一営業担当者が出向いてくださり、顔を合わせてお話ししたことが大きかったです。,4,土地の周りの環境についての顧客動向を分析して、ガレージがあるためとニーズに合うので、リノベ中心で売却の可能性を確認し、更地ではなく広い顧客層にアピールできるだろうということで売り出しましたが、すぐに買い手が付きましたので良かったです。,素人が勝手に売却方法を考えないで、玄人にまず相談。,担当者が独立したため、続けてフォローしてほしかった。,土地
12,15,高野 聡,男性,60,埼玉県,越谷市,瓦曽根2丁目,3回以上,2018-09-27,2019-07-01,2019-07-01,2019-09-20,2019-10-01,12000000,12000000,0,,,12000000,3,１番近所の不動産会社,5,"丹青は画架に向かって塗末せんでも五彩の絢爛(けんらん）
はおのずから心眼に映る。ただおのが住む世を、かく観じ得て、霊台方寸のカメラに澆季溷濁（ぎょうきこんだく）の俗界を清くうららかに収めえれば足る。このゆえに無声の詩人に一句なく、無色の画家には尺嫌（せっけん）なきも、かく人生を観じ得るの点において、またこの不同不二の乾坤を建立
し得るの点において、我利私欲の覊絆（きはん）を掃蕩（そおとう）するの点において、―千金の子よりも、万乗（ばんじょう）の君よりも、あらゆる俗界の寵児よりも幸福である。",新しく購入するマンションの購入会社の方からの推薦で、売却した不動産屋に決めました。,5,いろんな法律に詳しくて、知らないことは知り合いの司法書士や弁護士にその場で聞いてもらえたことが、こちらの信頼を得ることができたのだと思う。他の不動産会社は時間がかかったり、すぐに答えてくれなかったりした。,売却に向けては、事前に優先順位を決めておくことが重要だと思います。でないと大事なタイミングを逃してしまい、いつまでも売れ残ってしまう可能性がでてくるよ。,会社が休日でも連絡はつながるようにしておいた方が良い。,戸建て
13,16,亀田 悠人,男性,57,埼玉県,ふじみ野市,大井1丁目,初めて,2018-06-01,2018-08-01,2018-08-15,2019-06-30,2019-07-31,12500000,12500000,1,6,1000000,11500000,1,担当者の方の対応が決め手になりました。,1,"世に住むこと二十年にして、すむにかいある世と知った。
二十五年にして明暗は表裏のごとく、日の当たるところには
きっと影がさすと悟った。三十の今日はこう思っている。
―喜びの深きとき憂いいよいよ深く、楽しみの大なるほど
苦しみも大きい。これを切り放そうとすると身が持てぬ。",東横線物件に強かったので、きっと良いお客がみつかるだろうと思いました。また、仲介手数料の割引サービスがあったこと。,4,対応がとにかく早かったです。売却まで1年近くかかりましたが、途中で放置されることもなく、迅速な対応をしていただきました。また、内覧の後のフィードバックもあり、今後どうやったら売却につながるかアドバイスをもらえたのが良かったです。,複数の不動産会社に査定してもらい、担当者の対応も考慮して業者選びをするのが良いのではないでしょうか。,特になし。,マンション
14,17,金谷 駿介,男性,40,埼玉県,川越市,吉田新町2丁目,2回め,2019-02-01,2019-03-20,2019-04-01,2019-10-31,2019-10-31,33680000,34800000,0,,,33800000,1,地場でつよい,4,"かたづけようとすれば世が立たぬ。金は大事だ、大事なものが
殖えれば寝る間も心配だろう。恋はうれしい、うれしい恋が
積もれば、恋せぬ昔がかえって恋しかろ。閣僚の肩は数百万人
の足をささえている。背中には重い天下がおぶさっている。
うまい物も食わねば惜しい。少し食えば飽き足らぬ。存分食えば
あとが不愉快だ。",かなり積極的に対応してくれ、買い手探しも手広くやってくれましたのでこちらでお願いさせて頂きました。,4,熱心に売買活動に取り組んでくれた。メールのレスポンスもよかった。必要な書類等、売買のサポートは安心して任せることができた。また買うときは検討したい。,地道に頑張りましょう。,なし。,土地
15,18,横田 正昭,男性,46,千葉県,松戸市,北松戸1丁目,3回以上,2019-02-05,2019-03-18,2019-03-24,2019-07-31,2019-08-28,18000000,18000000,0,,,14000000,2,説明が丁寧で、寄り添ったな対応,2,"山路（やまみち）を登りながら、こう考えた。
知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。
とかくに人の世は住みにくい。
住みにくさが高じると、安いところへ引き越したくなる。どこへ
越しても住みにくいと悟った時、詩が生まれて、画ができる。",丁寧な対応、分かりやすい説明、知らないことは持ち帰り後でちゃんと説明してくれる。プライベートな話題を提供してくれて親しみ易い。,4,2週間ごとの報告書が貰えたので、どの程度一般の方からアクセスがあったか分かり、熱心に活動してもらえたので満足している。メールも頻繁にもらえたので安心して任せることができた。,色々と分からないことが多いと思いますので、わかりやすい説明をしてくれるところがいいと思います。,特に無し。,戸建て
16,19,鈴木 麻衣子,女性,60,東京都,日野市,平山3丁目,初めて,2018-07-20,2019-03-31,2019-07-23,2019-09-28,2019-10-01,6500000,7200000,1,1,1000000,5000000,2,報告がきめ細やかで不安になりませんでした。,5,築年数が古いため、そもそも売却出来るのか、という点。,担当者は若かったがやる気があり、上司も一緒にきたので安心感があった。名義人五人分の資料を作成してくれて送ってくれたのも良かった。,5,毎週1回の営業活動報告のときに、買主さまの意向を必ず伝えていただきました。オーナーチェンジ物件でしたので、賃借人の方に購入の提案やポスティングをしていただき、大変熱心な営業活動をしていただきました。,価格が現実的であることです。,1か月弱でしたので特にありません。,マンション
17,20,宮崎 雄也,男性,49,千葉県,市原市,うるいど南3丁目,2回め,2019-03-31,2019-04-10,2019-04-12,2019-11-26,2019-12-15,6500000,7800000,1,6,2500000,5000000,2,結果的に、決めた不動産会社でよかったと思う。,1,離婚して家が不要になった。,最初の問い合わせからレスポンスが早かった。また、唯一営業担当者が出向いてくださり、顔を合わせてお話ししたことが大きかったです。,1,多分、どこの不動産会社でも、対応に差はなかったように感じている。結局は担当者の熱意が重要だと思う。今回は場慣れしているのか、比較的淡白な対応であった。もちろん売却できたのだから、問題はないと思うが。,不動産会社を選ぶときは、会社の規模などではなく、担当者の熱意を重視すべきだと思う。,連絡を密にしてほしかった。また、アドバイスを頂きたかった。,土地
